time,	th_ref,	th_res,	th_error
-1,	3.14159,	3.14159,	2.38419e-07
-0.9,	2.69057,	2.69102,	0.000452042
-0.8,	2.49809,	2.49839,	0.00029397
-0.7,	2.34619,	2.3464,	0.000205517
-0.6,	2.2143,	2.21444,	0.000144958
-0.5,	2.0944,	2.0945,	0.000100136
-0.4,	1.98231,	1.98238,	6.55651e-05
-0.3,	1.87549,	1.87553,	3.85046e-05
-0.2,	1.77215,	1.77217,	1.84774e-05
-0.1,	1.67096,	1.67097,	5.24521e-06
0,	1.5708,	1.5708,	0
0.1,	1.47063,	1.47062,	-5.126e-06
0.2,	1.36944,	1.36942,	-1.83582e-05
0.3,	1.2661,	1.26607,	-3.83854e-05
0.4,	1.15928,	1.15921,	-6.54459e-05
0.5,	1.0472,	1.0471,	-0.000100136
0.6,	0.927295,	0.92715,	-0.000145018
0.7,	0.795399,	0.795194,	-0.000205278
0.8,	0.643501,	0.643207,	-0.000293732
0.9,	0.451027,	0.450575,	-0.000451982
1,	0,	-2.38419e-07,	-2.38419e-07
