time,	hall.signal.u,	hall.signal.v,	hall.signal.w,	period,	w_ff_filt,	w_tot,	th_r_fb,	th_r_cap,	th_r_est
1e-05,	1,	0,	0,	4.29497e+09,	7.65982e-07,	32.8987,	0.785398,	0.523599,	0.00164493
2e-05,	1,	0,	0,	4.29497e+09,	7.65982e-07,	32.8987,	0.785398,	0.523599,	0.00164493
3e-05,	1,	0,	0,	4.29497e+09,	7.65982e-07,	32.8987,	0.785398,	0.523599,	0.00164493
4e-05,	1,	0,	0,	4.29497e+09,	7.65982e-07,	32.8987,	0.785398,	0.523599,	0.00164493
5e-05,	1,	0,	0,	4.29497e+09,	7.65982e-07,	32.8987,	0.785398,	0.523599,	0.00164493
6e-05,	1,	0,	0,	4.29497e+09,	1.5079e-06,	32.7953,	0.785333,	0.523599,	0.0032847
7e-05,	1,	0,	0,	4.29497e+09,	1.5079e-06,	32.7953,	0.785333,	0.523599,	0.0032847
8e-05,	1,	0,	0,	4.29497e+09,	1.5079e-06,	32.7953,	0.785333,	0.523599,	0.0032847
9e-05,	1,	0,	0,	4.29497e+09,	1.5079e-06,	32.7953,	0.785333,	0.523599,	0.0032847
0.0001,	1,	0,	0,	4.29497e+09,	1.5079e-06,	32.7953,	0.785333,	0.523599,	0.0032847
0.00011,	1,	0,	0,	4.29497e+09,	2.22651e-06,	32.6923,	0.785136,	0.523599,	0.00491932
0.00012,	1,	0,	0,	4.29497e+09,	2.22651e-06,	32.6923,	0.785136,	0.523599,	0.00491932
0.00013,	1,	0,	0,	4.29497e+09,	2.22651e-06,	32.6923,	0.785136,	0.523599,	0.00491932
0.00014,	1,	0,	0,	4.29497e+09,	2.22651e-06,	32.6923,	0.785136,	0.523599,	0.00491932
0.00015,	1,	0,	0,	4.29497e+09,	2.22651e-06,	32.6923,	0.785136,	0.523599,	0.00491932
0.00016,	1,	0,	0,	4.29497e+09,	2.92254e-06,	32.5896,	0.784809,	0.523599,	0.0065488
0.00017,	1,	0,	0,	4.29497e+09,	2.92254e-06,	32.5896,	0.784809,	0.523599,	0.0065488
0.00018,	1,	0,	0,	4.29497e+09,	2.92254e-06,	32.5896,	0.784809,	0.523599,	0.0065488
0.00019,	1,	0,	0,	4.29497e+09,	2.92254e-06,	32.5896,	0.784809,	0.523599,	0.0065488
0.0002,	1,	0,	0,	4.29497e+09,	2.92254e-06,	32.5896,	0.784809,	0.523599,	0.0065488
0.00021,	1,	0,	0,	4.29497e+09,	3.59671e-06,	32.4872,	0.784351,	0.523599,	0.00817316
0.00022,	1,	0,	0,	4.29497e+09,	3.59671e-06,	32.4872,	0.784351,	0.523599,	0.00817316
0.00023,	1,	0,	0,	4.29497e+09,	3.59671e-06,	32.4872,	0.784351,	0.523599,	0.00817316
0.00024,	1,	0,	0,	4.29497e+09,	3.59671e-06,	32.4872,	0.784351,	0.523599,	0.00817316
0.00025,	1,	0,	0,	4.29497e+09,	3.59671e-06,	32.4872,	0.784351,	0.523599,	0.00817316
0.00026,	1,	0,	0,	4.29497e+09,	4.2497e-06,	32.3852,	0.783762,	0.523599,	0.00979241
0.00027,	1,	0,	0,	4.29497e+09,	4.2497e-06,	32.3852,	0.783762,	0.523599,	0.00979241
0.00028,	1,	0,	0,	4.29497e+09,	4.2497e-06,	32.3852,	0.783762,	0.523599,	0.00979241
0.00029,	1,	0,	0,	4.29497e+09,	4.2497e-06,	32.3852,	0.783762,	0.523599,	0.00979241
0.0003,	1,	0,	0,	4.29497e+09,	4.2497e-06,	32.3852,	0.783762,	0.523599,	0.00979241
0.00031,	1,	0,	0,	4.29497e+09,	4.88217e-06,	32.2834,	0.783042,	0.523599,	0.0114066
0.00032,	1,	0,	0,	4.29497e+09,	4.88217e-06,	32.2834,	0.783042,	0.523599,	0.0114066
0.00033,	1,	0,	0,	4.29497e+09,	4.88217e-06,	32.2834,	0.783042,	0.523599,	0.0114066
0.00034,	1,	0,	0,	4.29497e+09,	4.88217e-06,	32.2834,	0.783042,	0.523599,	0.0114066
0.00035,	1,	0,	0,	4.29497e+09,	4.88217e-06,	32.2834,	0.783042,	0.523599,	0.0114066
0.00036,	1,	0,	0,	4.29497e+09,	5.49478e-06,	32.182,	0.782191,	0.523599,	0.0130157
0.00037,	1,	0,	0,	4.29497e+09,	5.49478e-06,	32.182,	0.782191,	0.523599,	0.0130157
0.00038,	1,	0,	0,	4.29497e+09,	5.49478e-06,	32.182,	0.782191,	0.523599,	0.0130157
0.00039,	1,	0,	0,	4.29497e+09,	5.49478e-06,	32.182,	0.782191,	0.523599,	0.0130157
0.0004,	1,	0,	0,	4.29497e+09,	5.49478e-06,	32.182,	0.782191,	0.523599,	0.0130157
0.00041,	1,	0,	0,	4.29497e+09,	6.08814e-06,	32.0809,	0.781209,	0.523599,	0.0146197
0.00042,	1,	0,	0,	4.29497e+09,	6.08814e-06,	32.0809,	0.781209,	0.523599,	0.0146197
0.00043,	1,	0,	0,	4.29497e+09,	6.08814e-06,	32.0809,	0.781209,	0.523599,	0.0146197
0.00044,	1,	0,	0,	4.29497e+09,	6.08814e-06,	32.0809,	0.781209,	0.523599,	0.0146197
